Station Name,day,Min Solar radiation,Average Solar radiation,Max Solar radiation
63rd Street Weather Station,07/11/2019,0,293.75,907
Oak Street Weather Station,07/15/2017,-4,293.60869565217394,850
Oak Street Weather Station,06/27/2015,1,293.5416666666667,935
63rd Street Weather Station,05/23/2019,0,293.4583333333333,824
Foster Weather Station,06/02/2021,2,293.4166666666667,832
Foster Weather Station,07/22/2022,3,293.0,841
63rd Street Weather Station,05/30/2021,2,292.7391304347826,852
63rd Street Weather Station,06/11/2017,0,292.5,880
Foster Weather Station,05/13/2022,2,292.5,836
Oak Street Weather Station,05/31/2020,0,292.125,890
Foster Weather Station,07/21/2022,2,292.0833333333333,869
63rd Street Weather Station,07/26/2016,0,291.9583333333333,833
63rd Street Weather Station,07/14/2022,0,291.9583333333333,793
63rd Street Weather Station,07/15/2018,0,291.95454545454544,896
63rd Street Weather Station,06/11/2021,0,291.9166666666667,801
Foster Weather Station,08/09/2022,3,291.875,851
Oak Street Weather Station,06/05/2021,-5,291.8695652173913,890
Oak Street Weather Station,06/24/2016,-3,291.85,856
Foster Weather Station,06/21/2022,3,291.82608695652175,835
Oak Street Weather Station,07/14/2016,-4,291.8181818181818,931
Foster Weather Station,07/19/2022,3,291.7916666666667,876
63rd Street Weather Station,07/12/2019,0,291.7083333333333,813
63rd Street Weather Station,06/28/2018,0,291.6521739130435,808
Oak Street Weather Station,06/27/2022,-3,291.5416666666667,885
63rd Street Weather Station,05/28/2022,0,291.3333333333333,820
Foster Weather Station,06/22/2022,3,291.2916666666667,920
Oak Street Weather Station,06/23/2022,-4,291.2083333333333,881
63rd Street Weather Station,06/05/2021,0,291.1666666666667,910
63rd Street Weather Station,06/08/2020,0,291.0416666666667,822
63rd Street Weather Station,06/10/2021,0,291.0416666666667,807
63rd Street Weather Station,06/13/2021,0,290.82608695652175,837
63rd Street Weather Station,06/04/2021,0,290.625,843
63rd Street Weather Station,05/30/2020,2,290.5833333333333,877
Oak Street Weather Station,07/13/2020,-4,290.57142857142856,856
63rd Street Weather Station,07/12/2016,0,290.5,855
63rd Street Weather Station,07/08/2016,0,290.39130434782606,987
Oak Street Weather Station,06/14/2020,0,290.3333333333333,893
63rd Street Weather Station,06/21/2022,-2,290.2916666666667,800
63rd Street Weather Station,05/30/2019,1,290.25,835
Foster Weather Station,06/17/2021,2,290.04347826086956,887
63rd Street Weather Station,04/24/2017,2,289.875,838
63rd Street Weather Station,06/27/2022,0,289.7916666666667,847
63rd Street Weather Station,06/29/2018,0,289.625,793
63rd Street Weather Station,05/06/2016,0,289.5,967
63rd Street Weather Station,06/13/2016,1,289.4583333333333,985
63rd Street Weather Station,07/08/2019,1,289.4583333333333,798
Oak Street Weather Station,06/15/2020,-2,289.4166666666667,893
63rd Street Weather Station,05/30/2016,0,289.25,859
63rd Street Weather Station,07/10/2022,0,289.1666666666667,815
Oak Street Weather Station,06/14/2021,-4,289.125,874
63rd Street Weather Station,07/02/2022,0,289.04347826086956,819
63rd Street Weather Station,06/14/2019,0,288.9583333333333,865
63rd Street Weather Station,06/18/2017,0,288.95652173913044,1028
Oak Street Weather Station,07/05/2020,-5,288.8181818181818,814
Oak Street Weather Station,06/11/2017,-5,288.6363636363636,951
63rd Street Weather Station,05/02/2016,4,288.5833333333333,945
Oak Street Weather Station,06/03/2022,-3,288.4166666666667,879
Oak Street Weather Station,05/09/2020,0,288.375,894
Foster Weather Station,05/23/2022,2,288.375,880
63rd Street Weather Station,07/26/2021,0,288.30434782608694,802
63rd Street Weather Station,07/05/2021,0,288.1304347826087,777
Oak Street Weather Station,05/23/2022,0,288.0416666666667,858
63rd Street Weather Station,06/14/2022,-2,287.9583333333333,795
63rd Street Weather Station,06/21/2016,0,287.8181818181818,886
Oak Street Weather Station,07/28/2017,-4,287.7916666666667,991
63rd Street Weather Station,07/23/2020,0,287.75,793
Oak Street Weather Station,06/24/2022,-5,287.6666666666667,899
63rd Street Weather Station,05/15/2019,1,287.4166666666667,877
63rd Street Weather Station,07/18/2018,0,287.0,806
Oak Street Weather Station,06/08/2020,-4,286.875,863
Oak Street Weather Station,06/25/2019,-5,286.8333333333333,959
63rd Street Weather Station,06/25/2016,0,286.5217391304348,880
63rd Street Weather Station,06/02/2020,0,286.4166666666667,798
63rd Street Weather Station,06/15/2021,0,286.375,821
63rd Street Weather Station,08/06/2016,0,286.25,821
Foster Weather Station,08/03/2015,0,286.2083333333333,826
Foster Weather Station,05/26/2021,0,286.125,888
63rd Street Weather Station,06/21/2017,1,285.9583333333333,958
Oak Street Weather Station,06/02/2017,-4,285.9583333333333,861
Oak Street Weather Station,06/11/2019,-3,285.8333333333333,977
Foster Weather Station,06/02/2022,2,285.7916666666667,875
Oak Street Weather Station,07/02/2022,-5,285.6521739130435,907
63rd Street Weather Station,07/24/2020,0,285.5416666666667,836
63rd Street Weather Station,06/02/2021,1,285.4583333333333,890
Foster Weather Station,07/06/2021,1,285.25,863
63rd Street Weather Station,07/05/2020,0,285.2083333333333,801
63rd Street Weather Station,05/18/2017,0,285.0,882
63rd Street Weather Station,07/31/2019,1,284.9583333333333,809
63rd Street Weather Station,07/18/2022,0,284.9166666666667,809
Oak Street Weather Station,06/25/2016,-5,284.8095238095238,858
63rd Street Weather Station,06/27/2017,0,284.7916666666667,1036
Foster Weather Station,07/09/2021,2,284.7916666666667,878
Oak Street Weather Station,06/16/2022,-6,284.7083333333333,880
Foster Weather Station,07/23/2015,0,284.5416666666667,812
Oak Street Weather Station,04/12/2016,2,284.5217391304348,840
Oak Street Weather Station,05/08/2017,0,284.5,901
63rd Street Weather Station,05/12/2022,0,284.4782608695652,774
63rd Street Weather Station,07/31/2015,0,284.45454545454544,937
63rd Street Weather Station,05/23/2018,2,284.0416666666667,812
Oak Street Weather Station,07/17/2020,-5,283.9583333333333,887
63rd Street Weather Station,04/20/2019,3,283.9583333333333,833
63rd Street Weather Station,05/14/2019,2,283.7916666666667,830
63rd Street Weather Station,08/12/2017,0,283.7083333333333,839
Oak Street Weather Station,07/01/2020,-4,283.60869565217394,860
63rd Street Weather Station,08/19/2017,0,283.59090909090907,820
Foster Weather Station,07/04/2021,1,283.5833333333333,804
Oak Street Weather Station,07/08/2017,-3,283.5416666666667,880
Foster Weather Station,05/12/2022,1,283.4583333333333,819
63rd Street Weather Station,07/15/2017,0,283.30434782608694,855
63rd Street Weather Station,05/13/2019,3,283.2916666666667,832
63rd Street Weather Station,06/29/2022,0,283.2916666666667,784
Foster Weather Station,07/02/2021,2,283.2608695652174,817
Foster Weather Station,09/23/2020,0,283.07142857142856,656
Oak Street Weather Station,06/20/2022,-6,282.9166666666667,872
Foster Weather Station,06/08/2021,2,282.7083333333333,841
63rd Street Weather Station,06/18/2020,0,282.625,803
Foster Weather Station,06/04/2021,2,282.5416666666667,882
63rd Street Weather Station,07/13/2018,0,282.5416666666667,798
Foster Weather Station,07/26/2021,2,282.5416666666667,817
63rd Street Weather Station,07/25/2017,0,282.4166666666667,861
Oak Street Weather Station,05/07/2022,0,282.4166666666667,887
Foster Weather Station,08/01/2015,0,282.30434782608694,861
63rd Street Weather Station,07/15/2019,0,282.25,789
63rd Street Weather Station,07/03/2018,0,282.2083333333333,780
Foster Weather Station,08/11/2022,3,282.0,856
Oak Street Weather Station,06/15/2021,-3,281.9166666666667,859
63rd Street Weather Station,05/24/2020,0,281.875,847
Foster Weather Station,07/03/2021,2,281.875,795
Foster Weather Station,08/05/2022,2,281.8695652173913,795
Oak Street Weather Station,06/14/2022,-7,281.8695652173913,835
Oak Street Weather Station,07/10/2022,-5,281.375,865
Oak Street Weather Station,03/25/2016,2,281.29411764705884,779
63rd Street Weather Station,08/07/2016,0,281.2857142857143,927
Oak Street Weather Station,07/29/2017,-4,281.25,872
63rd Street Weather Station,07/03/2022,0,281.0833333333333,777
63rd Street Weather Station,08/11/2015,1,281.0,823
63rd Street Weather Station,07/24/2019,1,281.0,806
Oak Street Weather Station,08/04/2015,0,280.7916666666667,964
63rd Street Weather Station,07/09/2018,0,280.75,845
Oak Street Weather Station,07/01/2017,-4,280.6666666666667,1038
63rd Street Weather Station,06/25/2018,1,280.5833333333333,934
63rd Street Weather Station,05/23/2022,2,280.5,830
Oak Street Weather Station,06/21/2017,-4,280.39130434782606,1001
63rd Street Weather Station,06/30/2022,0,280.125,844
Oak Street Weather Station,05/01/2018,-5,280.09090909090907,876
Oak Street Weather Station,07/25/2017,-4,280.0833333333333,869
63rd Street Weather Station,07/28/2017,0,279.875,821
Oak Street Weather Station,06/16/2020,-3,279.8333333333333,857
Foster Weather Station,08/10/2022,3,279.5,816
Oak Street Weather Station,06/12/2020,-2,279.4583333333333,895
63rd Street Weather Station,04/28/2018,4,279.25,828
Oak Street Weather Station,05/28/2015,1,279.1111111111111,918
63rd Street Weather Station,07/03/2020,0,279.0416666666667,821
63rd Street Weather Station,08/04/2016,0,278.9166666666667,822
63rd Street Weather Station,08/08/2017,0,278.7391304347826,839
63rd Street Weather Station,07/04/2020,0,278.625,860
Oak Street Weather Station,06/17/2022,-5,278.625,874
63rd Street Weather Station,07/31/2016,0,278.5217391304348,837
63rd Street Weather Station,07/25/2021,0,278.5217391304348,795
Oak Street Weather Station,07/12/2016,-4,278.38461538461536,809
63rd Street Weather Station,08/03/2016,0,278.3333333333333,857
63rd Street Weather Station,07/22/2019,0,278.3333333333333,819
63rd Street Weather Station,07/30/2017,0,278.2608695652174,910
Foster Weather Station,08/11/2015,0,278.25,815
Foster Weather Station,07/20/2021,2,278.2173913043478,869
63rd Street Weather Station,07/12/2015,1,278.04347826086956,761
63rd Street Weather Station,05/24/2018,1,277.75,789
Oak Street Weather Station,05/23/2016,-2,277.72727272727275,898
Oak Street Weather Station,06/15/2022,-7,277.7083333333333,860
Oak Street Weather Station,06/01/2021,-2,277.5416666666667,891
63rd Street Weather Station,07/25/2018,0,277.5,781
63rd Street Weather Station,07/04/2021,0,277.2173913043478,756
63rd Street Weather Station,05/24/2016,0,277.17391304347825,864
63rd Street Weather Station,06/13/2020,2,277.0833333333333,841
Oak Street Weather Station,07/09/2022,-4,277.0416666666667,858
63rd Street Weather Station,08/01/2016,0,277.0,829
63rd Street Weather Station,07/23/2015,1,276.9166666666667,778
Oak Street Weather Station,06/08/2021,-4,276.875,840
Oak Street Weather Station,07/15/2015,1,276.8695652173913,919
63rd Street Weather Station,07/15/2015,2,276.6666666666667,879
63rd Street Weather Station,07/09/2019,0,276.625,778
Foster Weather Station,07/22/2015,0,276.60869565217394,935
Oak Street Weather Station,06/03/2021,-4,276.3333333333333,829
63rd Street Weather Station,06/02/2016,0,276.29411764705884,881
Oak Street Weather Station,06/17/2021,-5,276.2916666666667,891
Oak Street Weather Station,07/03/2020,-4,276.2083333333333,873
63rd Street Weather Station,04/07/2017,4,276.2083333333333,850
Oak Street Weather Station,07/26/2016,-4,276.17391304347825,806
63rd Street Weather Station,07/09/2021,0,275.95652173913044,818
63rd Street Weather Station,06/20/2016,0,275.6666666666667,1128
63rd Street Weather Station,06/07/2020,1,275.5833333333333,794
63rd Street Weather Station,04/19/2018,4,275.5416666666667,815
63rd Street Weather Station,04/12/2016,3,275.5,835
Foster Weather Station,07/18/2021,2,275.4583333333333,785
63rd Street Weather Station,06/12/2017,0,275.4166666666667,914
63rd Street Weather Station,04/24/2016,0,275.3333333333333,833
Oak Street Weather Station,06/26/2022,-5,275.25,895
63rd Street Weather Station,05/22/2019,0,275.2083333333333,789
63rd Street Weather Station,07/16/2020,0,275.1818181818182,871
Oak Street Weather Station,06/18/2020,-4,275.0,843
Oak Street Weather Station,05/13/2020,-2,274.875,860
Oak Street Weather Station,07/02/2020,-3,274.875,867
63rd Street Weather Station,08/01/2019,0,274.8333333333333,788
63rd Street Weather Station,08/08/2016,0,274.5416666666667,810
Oak Street Weather Station,07/09/2016,-3,274.2916666666667,879
63rd Street Weather Station,05/11/2017,3,274.25,904
63rd Street Weather Station,05/15/2017,0,274.1666666666667,878
63rd Street Weather Station,07/10/2018,0,274.125,784
63rd Street Weather Station,06/26/2022,0,274.0,864
Oak Street Weather Station,07/11/2016,-4,273.9130434782609,932
Oak Street Weather Station,05/24/2018,-4,273.7916666666667,834
Foster Weather Station,08/05/2015,0,273.6190476190476,819
63rd Street Weather Station,07/06/2020,0,273.5833333333333,783
63rd Street Weather Station,07/21/2022,0,273.4583333333333,786
63rd Street Weather Station,06/07/2019,2,273.2916666666667,767
63rd Street Weather Station,04/15/2016,3,273.25,830
Oak Street Weather Station,06/21/2022,-7,273.25,846
63rd Street Weather Station,08/22/2016,0,273.125,821
63rd Street Weather Station,05/22/2017,1,273.0833333333333,899
63rd Street Weather Station,05/13/2022,0,273.0833333333333,804
Oak Street Weather Station,05/08/2020,1,273.0,1036
Oak Street Weather Station,05/28/2022,-3,273.0,931
63rd Street Weather Station,07/31/2017,0,272.95454545454544,964
63rd Street Weather Station,07/27/2016,0,272.75,843
Oak Street Weather Station,05/12/2017,0,272.69565217391306,861
Oak Street Weather Station,06/10/2016,-5,272.5652173913044,843
63rd Street Weather Station,07/04/2015,1,272.5416666666667,783
63rd Street Weather Station,06/25/2019,0,272.375,815
63rd Street Weather Station,05/05/2019,1,272.3333333333333,779
63rd Street Weather Station,04/25/2018,4,272.2916666666667,811
Foster Weather Station,07/02/2022,2,272.2916666666667,854
63rd Street Weather Station,07/06/2021,0,272.2083333333333,792
Oak Street Weather Station,05/29/2017,-3,272.1304347826087,899
Oak Street Weather Station,06/06/2020,-3,272.0,816
63rd Street Weather Station,08/23/2016,0,271.9583333333333,918
Foster Weather Station,05/29/2022,2,271.9130434782609,855
Oak Street Weather Station,08/19/2017,-4,271.8888888888889,802
63rd Street Weather Station,06/07/2018,2,271.75,801
Oak Street Weather Station,06/14/2016,-3,271.6190476190476,862
Oak Street Weather Station,04/23/2017,-2,271.6190476190476,858
63rd Street Weather Station,06/12/2020,0,271.5652173913044,792
63rd Street Weather Station,07/03/2017,0,271.5,860
63rd Street Weather Station,07/26/2018,0,271.5,950
Foster Weather Station,07/05/2015,1,271.4761904761905,786
Oak Street Weather Station,05/28/2018,-6,271.125,851
Oak Street Weather Station,06/25/2017,-2,271.04545454545456,1028
Oak Street Weather Station,06/02/2015,2,270.9,927
Oak Street Weather Station,05/07/2018,-3,270.6666666666667,840
Oak Street Weather Station,07/25/2021,-5,270.60869565217394,829
Foster Weather Station,08/12/2015,0,270.5833333333333,794
Oak Street Weather Station,06/09/2021,-4,270.5833333333333,817
Oak Street Weather Station,05/13/2022,-5,270.5833333333333,854
Oak Street Weather Station,04/24/2017,-2,270.54545454545456,856
Oak Street Weather Station,07/18/2022,-5,270.5,857
Oak Street Weather Station,06/29/2018,-6,270.5,819
63rd Street Weather Station,07/11/2018,0,270.4166666666667,745
63rd Street Weather Station,04/20/2018,4,270.375,769
Oak Street Weather Station,04/16/2016,0,270.17391304347825,834
63rd Street Weather Station,05/30/2022,0,270.125,840
63rd Street Weather Station,07/24/2018,0,270.0,776
63rd Street Weather Station,08/05/2015,1,269.95238095238096,767
Oak Street Weather Station,07/19/2017,-5,269.75,815
63rd Street Weather Station,08/04/2015,1,269.5416666666667,865
Oak Street Weather Station,07/03/2022,-5,269.4583333333333,836
Oak Street Weather Station,05/25/2018,-5,269.4583333333333,852
63rd Street Weather Station,04/28/2019,4,269.4166666666667,824
