name,time,air_Pressure_mH2o,air_Temp_float,airtime,batt,channel,coding_rate,counter,data_rate,dev_id,dist,dist2,frequency,gateway_time,gateway_timestamp,gtw_id,hardware_serial,is_retry,modulation,payload_raw,port,rf_chain,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu,1.6036E+18,-1,0,1.97E+09,3.44,0,04-May,0,SF12BW125,fipy_e1,29.58379745,,868.1,2020-10-25T03:35:37.335321Z,1.13E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,uEpcQJ6r7EF5tSNBnNOcQQAAgL8AAAAA,1,0,-19,11.8,10.23180485,19.60332489,
puhatu,1.6036E+18,-1,0,1.97E+09,3.44,1,04-May,0,SF12BW125,fipy_e1,31.35530472,,868.3,2020-10-25T04:04:03.372521Z,2.84E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,4klcQKrX+kHRwCNBKN2cQQAAgL8AAAAA,1,0,-16,13,10.23457432,19.60798645,
puhatu,1.6036E+18,-1,0,1.97E+09,3.44,5,04-May,0,SF12BW125,fipy_e1,28.68548584,,867.5,2020-10-25T04:34:09.897645Z,3.49E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,HjhcQOB75UFtzCNB1GicQQAAgL8AAAAA,1,0,-17,10.2,10.23740864,19.55118561,
puhatu,1.6036E+18,-1,0,1.97E+09,3.44,2,04-May,0,SF12BW125,fipy_e1,29.32146263,,868.5,2020-10-25T05:04:11.681826Z,2.15E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,HjhcQFuS6kG72yNB+LGcQQAAgL8AAAAA,1,0,-17,9.5,10.24114513,19.5868988,
puhatu,1.6036E+18,-1,0,1.97E+09,3.44,5,04-May,0,SF12BW125,fipy_e1,28.95966148,,867.5,2020-10-25T05:34:08.621438Z,3.95E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,EyZcQGOt50GS8iNBes6cQQAAgL8AAAAA,1,0,-18,11,10.24672127,19.60081863,
puhatu,1.60361E+18,-1,0,1.97E+09,3.44,3,04-May,0,SF12BW125,fipy_e1,28.28861046,,867.1,2020-10-25T06:04:10.488879Z,1.45E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,gPBbQBNP4kH3BiRBmZScQQAAgL8AAAAA,1,0,-19,11.8,10.2517004,19.57255745,
puhatu,1.60361E+18,-1,0,1.97E+09,3.42,5,04-May,0,SF12BW125,fipy_e1,29.32294273,,867.5,2020-10-25T06:34:10.721335Z,3.25E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,FrdaQGOV6kExFyRB1D2fQQAAgL8AAAAA,1,0,-18,10.8,10.25566196,19.90518951,
puhatu,1.60361E+18,-1,0,1.97E+09,3.07,1,04-May,0,SF12BW125,fipy_e1,29.98067284,,868.3,2020-10-25T07:04:10.481519Z,7.60E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,H31EQGvY70HNECRBc7qfQQAAgL8AAAAA,1,0,-19,12.8,10.25410175,19.96603966,
puhatu,1.60361E+18,-1,0,1.97E+09,3.07,3,04-May,0,SF12BW125,fipy_e1,28.53803444,,867.1,2020-10-25T07:34:11.773974Z,2.56E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,/EtEQOVN5EEfHiRBuXqfQQAAgL8AAAAA,1,0,-19,13.2,10.25735378,19.93492317,
puhatu,1.60361E+18,-1,0,1.97E+09,3.04,2,04-May,0,SF12BW125,fipy_e1,29.62384987,,868.5,2020-10-25T08:05:42.209643Z,1.56E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,ystCQKX97EGaKSRBFvueQQAAgL8AAAAA,1,0,-19,10.5,10.26015663,19.87260056,
